Suggested,Suggested
Products,Products
"Product Name","Product Name"
SKU,SKU
"Product Image","Product Image"
"Reviews Rating","Reviews Rating"
"Short Description","Short Description"
Description,Description
Price,Price
"Add to Cart Button","Add to Cart Button"
"See All","See All"
"Add to Cart","Add to Cart"
"No Result","No Result"
SearchSuite,SearchSuite
"Autocomplete Configuration","Autocomplete Configuration"
"Search Delay","Search Delay"
"Show Fields In Popup","Show Fields In Popup"
"Number of Results Suggested Search","Number of Results Suggested Search"
"Number of Results Product Search","Number of Results Product Search"
"Product Search Result Fields","Product Search Result Fields"
